ListPrice,SalePrice,Age,Living,Lot,Tax,Bathrooms,Bedrooms,Garage,Story,CitySewer,eastUS1,Pool
269900,255000,62,1035,5500,2905,1,2,1,1,no,no,no
349000,337500,55,1038,7062,2464,3,3,0,1,yes,no,no
299000,280000,56,1071,6900,2263,1,2,1,1,no,no,no
285000,275000,55,1076,6893,2415,1,2,1,1,no,no,no
275000,252000,56,1083,6400,3298,2,3,0,1,no,no,no
245900,223000,62,1088,5000,2216,2,2,0,1,no,no,no
262000,262000,56,1104,5250,2458,1,2,1,1,no,no,no
519000,308000,79,1110,5500,2474,2,3,1,1,no,no,yes
239000,239000,64,1117,5712,2245,2,2,1,1,no,no,no
300000,298000,64,1117,5712,2335,2,2,1,1,no,no,no
264000,250000,55,1130,5395,2908,1,2,1,1,yes,no,no
299000,296000,61,1139,6060,2502,2,3,0,1,no,no,no
215000,195000,58,1146,6808,2721,1,3,0,1,yes,no,no
289000,282500,62,1194,8702,3386,1,2,1,1,yes,no,no
224900,224900,58,1203,7000,1923,1,3,0,1,yes,no,no
299000,290000,62,1221,8475,2934,1,2,1,1,yes,no,no
159900,136500,47,1234,5000,3037,1,3,0,1,yes,yes,no
299000,283000,50,1235,5650,2254,1,2,1,1,yes,no,no
269000,256500,58,1235,6666,2632,1,3,0,1,yes,no,no
279000,255000,53,1241,5250,2100,1,2,1,1,no,no,no
325000,325000,48,1250,7500,2751,1,2,1,1,no,no,no
219900,193000,58,1273,6134,2308,1,3,0,1,yes,no,no
320000,280000,62,1276,10000,4700,1,2,2,1,no,no,no
259500,250000,51,1278,6600,2487,1,2,1,1,no,no,no
325000,320000,52,1294,7062,3346,1,2,1,1,no,no,no
289900,284000,76,1305,8025,2624,1,2,1,1,no,no,no
259900,278000,61,1328,5500,3485,1,3,0,1,no,no,no
299000,293000,78,1340,5250,3400,1,2,0,1,no,no,no
189000,162500,58,1341,5000,2376,2,2,0,1,yes,no,no
159900,155000,64,1362,5000,2291,2,3,0,1,no,yes,no
195000,190000,58,1367,7310,1556,1,3,0,1,yes,no,no
305000,305000,76,1371,5350,2345,1,2,1,1,yes,no,no
279900,275000,70,1379,2435,2893,3,3,0,2,no,no,no
359000,350000,57,1380,7232,3738,2,3,0,1,yes,no,no
269000,255000,41,1386,6000,2388,2,3,0,1,no,yes,no
339000,335000,76,1387,5000,2007,1,3,0,1,no,no,no
238000,238000,76,1387,5000,2007,1,3,0,1,no,no,no
269000,245000,62,1387,5712,2101,2,3,0,1,no,no,no
298000,287000,77,1400,5000,3588,1,2,0,1,no,no,no
295000,260000,48,1403,5000,2170,2,3,1,1,no,no,no
399000,375000,75,1405,5500,3952,2,3,1,1,no,no,no
345000,322500,53,1430,6600,2693,2,3,1,1,no,no,no
